,Category,Rank,Title,Price,Title Length
0,Arts Photography,1,The 5 Love Languages: The Secret to Love that Lasts,9.59,51
1,Arts Photography,2,Born a Crime: Stories from a South African Childhood,-2.0,52
2,Arts Photography,3,The Anthology Part 1 Limited Edition,24.99,36
3,Arts Photography,4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,9.79,86
4,Arts Photography,5,The Autobiography of Gucci Mane,16.2,31
5,Arts Photography,6,Obama: An Intimate Portrait,28.99,27
6,Arts Photography,7,Eat What You Watch: A Cookbook for Movie Lovers,15.0,47
7,Arts Photography,8,"Al Franken, Giant of the Senate",-2.0,31
8,Arts Photography,9,The Autobiography of Gucci Mane,-2.0,31
9,Arts Photography,10,Go the F**k to Sleep,11.96,20
10,Arts Photography,11,Adult Coloring Book: Stress Relieving Animal Designs,5.99,52
11,Arts Photography,12,Q&A a Day: 5-Year Journal,13.87,25
12,Arts Photography,13,Black Privilege: Opportunity Comes to Those Who Create It,-2.0,57
13,Arts Photography,14,"Al Franken, Giant of the Senate",14.99,31
14,Arts Photography,15,Sticky Fingers: The Life and Times of Jann Wenner and Rolling Stone Magazine,19.46,76
15,Arts Photography,16,Calm the F*ck Down: An Irreverent Adult Coloring Book,5.14,53
16,Arts Photography,17,Born a Crime: Stories from a South African Childhood,14.99,52
17,Arts Photography,18,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",4.99,113
18,Arts Photography,19,"Go F*ck Yourself, I'm Coloring: Swear Word Coloring Book",5.39,56
19,Arts Photography,20,Reckless Daughter: A Portrait of Joni Mitchell,20.74,46
20,Arts Photography,21,Bossypants,-2.0,10
21,Arts Photography,22,"Lettering For Beginners: A Creative Lettering How To Guide With Alphabet Guides, Projects And Practice Pages",6.29,108
22,Arts Photography,23,Chasing Light: Michelle Obama Through the Lens of a White House Photographer,22.35,76
23,Arts Photography,24,"Al Franken, Giant of the Senate",19.77,31
