"category","rank","titles","prices"
"Arts Photography",1,"The 5 Love Languages: The Secret to Love that Lasts","$9.59"
"Arts Photography",2,"Born a Crime: Stories from a South African Childhood","$0.00 with Trial"
"Arts Photography",3,"The Anthology Part 1 Limited Edition","$24.99"
"Arts Photography",4,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","$9.79"
"Arts Photography",5,"The Autobiography of Gucci Mane","$16.20"
"Arts Photography",6,"Obama: An Intimate Portrait","$28.99"
"Arts Photography",7,"Eat What You Watch: A Cookbook for Movie Lovers","$15.00"
"Arts Photography",8,"Al Franken, Giant of the Senate","$0.00 with Trial"
"Arts Photography",9,"The Autobiography of Gucci Mane","$0.00 with Trial"
"Arts Photography",10,"Go the F**k to Sleep","$11.96"
"Arts Photography",11,"Adult Coloring Book: Stress Relieving Animal Designs","$5.99"
"Arts Photography",12,"Q&A a Day: 5-Year Journal","$13.87"
"Arts Photography",13,"Black Privilege: Opportunity Comes to Those Who Create It","$0.00 with Trial"
"Arts Photography",14,"Al Franken, Giant of the Senate","$14.99"
"Arts Photography",15,"Sticky Fingers: The Life and Times of Jann Wenner and Rolling Stone Magazine","$19.46"
"Arts Photography",16,"Calm the F*ck Down: An Irreverent Adult Coloring Book","$5.14"
"Arts Photography",17,"Born a Crime: Stories from a South African Childhood","$14.99"
"Arts Photography",18,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns","$4.99"
"Arts Photography",19,"Go F*ck Yourself, I'm Coloring: Swear Word Coloring Book","$5.39"
"Arts Photography",20,"Reckless Daughter: A Portrait of Joni Mitchell","$20.74"
"Arts Photography",21,"Bossypants","$0.00 with Trial"
"Arts Photography",22,"Lettering For Beginners: A Creative Lettering How To Guide With Alphabet Guides, Projects And Practice Pages","$6.29"
"Arts Photography",23,"Chasing Light: Michelle Obama Through the Lens of a White House Photographer","$22.35"
"Arts Photography",24,"Al Franken, Giant of the Senate","$19.77"
"Arts Photography",25,"The Legend of Zelda Encyclopedia","$23.99"
"Arts Photography",26,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","$0.00 with Trial"
"Arts Photography",27,"Pusheen the Cat 2018 Wall Calendar","$9.41"
"Arts Photography",28,"The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation’s Largest Home","$18.30"
"Arts Photography",29,"Hamilton: The Revolution","$28.08"
"Arts Photography",30,"Make Life Your Bitch: Motivational adult coloring book. Turn your stress into success! (Midnight Edition)","$4.49"
"Arts Photography",31,"Born a Crime: Stories from a South African Childhood","$19.17"
"Arts Photography",32,"Essential Elements for Strings - Book 1 with EEi: Violin","$5.79"
"Arts Photography",33,"First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers","$16.19"
"Arts Photography",34,"Swear Word Coloring Book: The Jungle Adult Coloring Book featured with Sweary Words & Animals","$4.04"
"Arts Photography",35,"A Simplified Life: Tactical Tools for Intentional Living","$12.21"
"Arts Photography",36,"How to Draw People (Dover How to Draw)","$3.56"
"Arts Photography",37,"The Anatomy Coloring Book","$18.49"
"Arts Photography",38,"The Art of Overwatch Limited Edition","$60.00"
"Arts Photography",39,"Adult All-In-One Course: Lesson-Theory-Technic: Level 1","$11.55"
"Arts Photography",40,"Searching for Dave Chappelle (Kindle Single)","$2.99"
"Arts Photography",41,"The Art of Overwatch","$31.44"
"Arts Photography",42,"Easy Origami (Dover Origami Papercraft)over 30 simple projects","$2.87"
"Arts Photography",43,"Teaching Little Fingers to Play: A Book for the Earliest Beginner (John Thompsons Modern Course for The Piano)","$4.05"
"Arts Photography",44,"Petty: The Biography","$10.43"
"Arts Photography",45,"The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation's Largest Home","$14.99"
"Arts Photography",46,"F*ck, That's Delicious: An Annotated Guide to Eating Well","$20.25"
"Arts Photography",47,"Primer Level - Lesson Book: Piano Adventures","$6.79"
"Arts Photography",48,"Rolling Stone Tom Petty, 1950-2017: The Ultimate Guide to His Music & Legend","$13.49"
"Arts Photography",49,"Teach Yourself to Play Guitar: A Quick and Easy Introduction for Beginners","$6.99"
"Arts Photography",50,"Black Privilege: Opportunity Comes to Those Who Create It","$12.99"
"Arts Photography",51,"Colorful Blessings: Cards to Color and Share","$3.76"
"Arts Photography",52,"Hand Lettering 101: An Introduction to the Art of Creative Lettering","$20.39"
"Arts Photography",53,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","$9.99"
"Arts Photography",54,"Everyday Watercolor: Learn to Paint Watercolor in 30 Days","$15.63"
"Arts Photography",55,"Standard Wirebound Manuscript Paper (Green Cover)","$4.99"
"Arts Photography",56,"Katie Daisy 2017 – 2018 On-the-Go Weekly Planner: 17-Month Calendar with Pocket","$13.49"
"Arts Photography",57,"Coloring Book for Adults: Amazing Swirls","$5.99"
"Arts Photography",58,"Joan Rivers Confidential: The Unseen Scrapbooks, Joke Cards, Personal Files, and Photos of a Very Funny Woman Who Kept Everything","$25.47"
"Arts Photography",59,"Notebook Doodles Super Cute: Coloring & Activity Book (Design Originals)","$4.97"
"Arts Photography",60,"Wreck This Journal (Paper bag) Expanded Ed.","$8.49"
"Arts Photography",61,"Level 1 - Lesson Book: Piano Adventures","$7.99"
"Arts Photography",62,"Born to Run","$0.00 with Trial"
"Arts Photography",63,"Kaleidoscope Wonders: Color Art for Everyone","$5.14"
"Arts Photography",64,"Prince: A Private View","$21.39"
"Arts Photography",65,"Thomas Kinkade: The Disney Dreams Collection 2018 Wall Calendar","$10.39"
"Arts Photography",66,"Holy Roar: 7 Words That Will Change The Way You Worship","$13.28"
"Arts Photography",67,"Complete Color Coded Flash Cards for All Beginning Music Students","$5.99"
"Arts Photography",68,"ABC Keyboard Stickers","$3.06"
"Arts Photography",69,"The Dot","$8.29"
"Arts Photography",70,"Barnyard Dance! (Boynton on Board)","$6.27"
"Arts Photography",71,"Robert's Rules of Order Newly Revised","$11.21"
"Arts Photography",72,"The Rap Year Book: The Most Important Rap Song From Every Year Since 1979, Discussed, Debated, and Deconstructed","$12.88"
"Arts Photography",73,"The War of Art: Winning the Inner Creative Battle","$0.00 with Trial"
"Arts Photography",74,"Adult Coloring Book: Designs","$3.59"
"Arts Photography",75,"Level 2A - Lesson Book: Piano Adventures","$6.95"
"Arts Photography",76,"ENTERTAINMENT WEEKLY The Ultimate Guide to Supernatural","$12.59"
"Arts Photography",77,"Fucking Adorable - Cute Critters with foul Mouths","$4.49"
"Arts Photography",78,"Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture","$1.99"
"Arts Photography",79,"Art of Coloring: Tim Burton's The Nightmare Before Christmas: 100 Images to Inspire Creativity","$12.38"
"Arts Photography",80,"What Does This Button Do?: An Autobiography","$18.89"
"Arts Photography",81,"Strong Is the New Pretty: A Celebration of Girls Being Themselves","$10.00"
"Arts Photography",82,"365 Cats Page-A-Day Calendar 2018","$10.39"
"Arts Photography",83,"Creative Haven Autumn Scenes Coloring Book (Adult Coloring)","$5.09"
"Arts Photography",84,"Adult Coloring Book: Island Dreams: Vacation, Summer and Beach: Dream and Relax with Gorgeous Illustrations","$4.49"
"Arts Photography",85,"Sticky Fingers: The Life and Times of Jann Wenner and Rolling Stone Magazine","$14.99"
"Arts Photography",86,"The Legend of Zelda: Art & Artifacts","$23.99"
"Arts Photography",87,"It's What I Do: A Photographer's Life of Love and War","$1.99"
"Arts Photography",88,"Critical Failures (Caverns and Creatures Book 1)","$0.99"
"Arts Photography",89,"Descendants 2 A Wickedly Cool Coloring Book (Art of Coloring)","$11.18"
"Arts Photography",90,"Disney Dreams Collection Thomas Kinkade Studios Coloring Book","$10.38"
"Arts Photography",91,"Adult Coloring Books Good vibes: Don’t give up : Motivate your life with Brilliant designs and great calligraphy words to help melt stress away. (Volume 16)","$6.16"
"Arts Photography",92,"Primer Level - Theory Book: Piano Adventures","$6.99"
"Arts Photography",93,"Level 1 - Christmas Book: Piano Adventures","$4.95"
"Arts Photography",94,"Portraits of Courage: A Commander in Chief's Tribute to America's Warriors","$23.42"
"Arts Photography",95,"The Legend of Zelda: Hyrule Historia","$22.69"
"Arts Photography",96,"Overwatch: Anthology Volume 1","$15.61"
"Arts Photography",97,"52 Lists for Happiness: Weekly Journaling Inspiration for Positivity, Balance, and Joy","$11.52"
"Arts Photography",98,"Fun Home: A Family Tragicomic","$9.84"
"Arts Photography",99,"The Bob's Burgers Burger Book: Real Recipes for Joke Burgers","$13.56"
"Arts Photography",100,"A First Book of Christmas Songs for the Beginning Pianist: with Downloadable MP3s (Dover Classical Music for Keyboard and Piano Four Hands)","$6.17"
"Audible Audiobooks",1,"Origin: A Novel","$0.00 with Trial"
"Audible Audiobooks",2,"The Nature Fix: Why Nature Makes Us Happier, Healthier, and More Creative","$0.00 with Trial"
"Audible Audiobooks",3,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","$0.00 with Trial"
"Audible Audiobooks",4,"Leonardo da Vinci","$0.00 with Trial"
"Audible Audiobooks",5,"It","$0.00 with Trial"
"Audible Audiobooks",6,"The Death of the Banker: The Decline and Fall of the Great Financial Dynasties and the Triumph of the Small Investor","$0.00 with Trial"
"Audible Audiobooks",7,"Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone","$0.00 with Trial"
"Audible Audiobooks",8,"The Book of Dust: La Belle Sauvage: Book of Dust, Volume 1","$0.00 with Trial"
"Audible Audiobooks",9,"Uncommon Type: Some Stories","$0.00 with Trial"
"Audible Audiobooks",10,"Before We Were Yours: A Novel","$0.00 with Trial"
"Audible Audiobooks",11,"The Home Front: Life in America During World War II","$0.00 with Trial"
"Audible Audiobooks",12,"Ready Player One","$0.00 with Trial"
"Audible Audiobooks",13,"What Happened","$0.00 with Trial"
"Audible Audiobooks",14,"Deep Freeze: Virgil Flowers, Book 10","$0.00 with Trial"
"Audible Audiobooks",15,"The Secrets She Keeps: A Novel","$0.00 with Trial"
"Audible Audiobooks",16,"Harry Potter and the Sorcerer's Stone, Book 1","$0.00 with Trial"
"Audible Audiobooks",17,"Principles: Life and Work","$0.00 with Trial"
"Audible Audiobooks",18,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage","$0.00 with Trial"
"Audible Audiobooks",19,"Sleeping Beauties: A Novel","$0.00 with Trial"
"Audible Audiobooks",20,"Never Let You Go","$0.00 with Trial"
"Audible Audiobooks",21,"How to Win Friends & Influence People","$0.00 with Trial"
"Audible Audiobooks",22,"A Game of Thrones: A Song of Ice and Fire, Book 1","$0.00 with Trial"
"Audible Audiobooks",23,"Capital Gaines: The Smart Things I've Learned by Doing Stupid Stuff","$0.00 with Trial"
"Audible Audiobooks",24,"The Cuban Affair","$0.00 with Trial"
"Audible Audiobooks",25,"Turtles All the Way Down","$0.00 with Trial"
"Audible Audiobooks",26,"The Snowman","$0.00 with Trial"
"Audible Audiobooks",27,"Law School for Everyone","$0.00 with Trial"
"Audible Audiobooks",28,"Harry Potter and the Chamber of Secrets, Book 2","1 credit"
"Audible Audiobooks",29,"Born a Crime: Stories from a South African Childhood","$0.00 with Trial"
"Audible Audiobooks",30,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True","$0.00 with Trial"
"Audible Audiobooks",31,"Unfu*k Yourself","$0.00 with Trial"
"Audible Audiobooks",32,"Harry Potter and the Prisoner of Azkaban, Book 3","$0.00 with Trial"
"Audible Audiobooks",33,"I Can't Make This Up: Life Lessons","$0.00 with Trial"
"Audible Audiobooks",34,"Black Ops: Expeditionary Force, Book 4","$0.00 with Trial"
"Audible Audiobooks",35,"The Power of Habit: Why We Do What We Do in Life and Business","$0.00 with Trial"
"Audible Audiobooks",36,"A Clash of Kings: A Song of Ice and Fire, Book 2","$0.00 with Trial"
"Audible Audiobooks",37,"Harry Potter and the Goblet of Fire, Book 4","$0.00 with Trial"
"Audible Audiobooks",38,"Paradox Bound: A Novel","$0.00 with Trial"
"Audible Audiobooks",39,"Grant","$0.00 with Trial"
"Audible Audiobooks",40,"A Column of Fire","$0.00 with Trial"
"Audible Audiobooks",41,"The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations","$0.00 with Trial"
"Audible Audiobooks",42,"The Rules of Magic","$0.00 with Trial"
"Audible Audiobooks",43,"Blood of Others","$0.00 with Trial"
"Audible Audiobooks",44,"Harry Potter and the Order of the Phoenix, Book 5","$0.00 with Trial"
"Audible Audiobooks",45,"The Handmaid's Tale: Special Edition","$0.00 with Trial"
"Audible Audiobooks",46,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","$0.00 with Trial"
"Audible Audiobooks",47,"Astrophysics for People in a Hurry","$0.00 with Trial"
"Audible Audiobooks",48,"Harry Potter and the Half-Blood Prince, Book 6","$0.00 with Trial"
"Audible Audiobooks",49,"A Storm of Swords: A Song of Ice and Fire, Book 3","$0.00 with Trial"
"Audible Audiobooks",50,"Outlander: Outlander, Book 1","$0.00 with Trial"
"Audible Audiobooks",51,"The Psychology of Performance: How to Be Your Best in Life","$0.00 with Trial"
"Audible Audiobooks",52,"The Science of Likability: 27 Studies to Master Charisma, Attract Friends, Captivate People, and Take Advantage of Human Psychology","$0.00 with Trial"
"Audible Audiobooks",53,"Harry Potter and the Deathly Hallows, Book 7","$0.00 with Trial"
"Audible Audiobooks",54,"Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!","$0.00 with Trial"
"Audible Audiobooks",55,"Deader Homes and Gardens","$0.00 with Trial"
"Audible Audiobooks",56,"Silent Child","$0.00 with Trial"
"Audible Audiobooks",57,"All These Worlds: Bobiverse, Book 3","$0.00 with Trial"
"Audible Audiobooks",58,"Recovery: Freedom from Our Addictions","$0.00 with Trial"
"Audible Audiobooks",59,"Sapiens: A Brief History of Humankind","$0.00 with Trial"
"Audible Audiobooks",60,"The Rooster Bar","$0.00 with Trial"
"Audible Audiobooks",61,"The Drug Hunters: The Improbable Quest to Discover New Medicines","$0.00 with Trial"
"Audible Audiobooks",62,"Extreme Ownership: How U.S. Navy SEALs Lead and Win","$0.00 with Trial"
"Audible Audiobooks",63,"Oathbringer","$0.00 with Trial"
"Audible Audiobooks",64,"Don't Let Go","$0.00 with Trial"
"Audible Audiobooks",65,"Little Fires Everywhere","$0.00 with Trial"
"Audible Audiobooks",66,"Lincoln in the Bardo: A Novel","$0.00 with Trial"
"Audible Audiobooks",67,"A Plague of Giants","$0.00 with Trial"
"Audible Audiobooks",68,"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","$0.00 with Trial"
"Audible Audiobooks",69,"The Dark Tower I: The Gunslinger","$0.00 with Trial"
"Audible Audiobooks",70,"We Are Legion (We Are Bob): Bobiverse, Book 1","$0.00 with Trial"
"Audible Audiobooks",71,"High Performance Habits: How Extraordinary People Become That Way","$0.00 with Trial"
"Audible Audiobooks",72,"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","$0.00 with Trial"
"Audible Audiobooks",73,"Scythe","$0.00 with Trial"
"Audible Audiobooks",74,"For We Are Many: Bobiverse, Book 2","$0.00 with Trial"
"Audible Audiobooks",75,"A Gentleman in Moscow: A Novel","$0.00 with Trial"
"Audible Audiobooks",76,"A Feast for Crows: A Song of Ice and Fire: Book 4","$0.00 with Trial"
"Audible Audiobooks",77,"Killing England: The Brutal Struggle for American Independence","$0.00 with Trial"
"Audible Audiobooks",78,"Dungeon Madness: Divine Dungeon Series, Book 2","$0.00 with Trial"
"Audible Audiobooks",79,"The Girl Who Takes an Eye for an Eye: A Lisbeth Salander Novel, Continuing Stieg Larsson's Millennium Series, Book 5","$0.00 with Trial"
"Audible Audiobooks",80,"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together","$0.00 with Trial"
"Audible Audiobooks",81,"Manhattan Beach: A Novel","$0.00 with Trial"
"Audible Audiobooks",82,"Wonder","$0.00 with Trial"
"Audible Audiobooks",83,"Columbus Day: Expeditionary Force, Book 1","$0.00 with Trial"
"Audible Audiobooks",84,"The Alchemist: A Fable About Following Your Dream","$0.00 with Trial"
"Audible Audiobooks",85,"I Am Watching You","$0.00 with Trial"
"Audible Audiobooks",86,"The Five Love Languages: The Secret to Love That Lasts","$0.00 with Trial"
"Audible Audiobooks",87,"A Dance with Dragons: A Song of Ice and Fire: Book 5","$0.00 with Trial"
"Audible Audiobooks",88,"Murder on the Orient Express: A Hercule Poirot Mystery","$0.00 with Trial"
"Audible Audiobooks",89,"Never Split the Difference: Negotiating as if Your Life Depended on It","$0.00 with Trial"
"Audible Audiobooks",90,"To Kill a Mockingbird","$0.00 with Trial"
"Audible Audiobooks",91,"Shoe Dog: A Memoir by the Creator of Nike","$0.00 with Trial"
"Audible Audiobooks",92,"Start with Why: How Great Leaders Inspire Everyone to Take Action","$0.00 with Trial"
"Audible Audiobooks",93,"The Stand","$0.00 with Trial"
"Audible Audiobooks",94,"The Way of Kings: Book One of The Stormlight Archive","$0.00 with Trial"
"Audible Audiobooks",95,"Al Franken, Giant of the Senate","$0.00 with Trial"
"Audible Audiobooks",96,"The Autobiography of Gucci Mane","$0.00 with Trial"
"Audible Audiobooks",97,"SpecOps: Expeditionary Force, Book 2","$0.00 with Trial"
"Audible Audiobooks",98,"Blade Runner: Based on the novel Do Androids Dream of Electric Sheep? by Philip K. Dick","$0.00 with Trial"
"Audible Audiobooks",99,"From a Certain Point of View (Star Wars)","$0.00 with Trial"
"Audible Audiobooks",100,"The Power of Now","$0.00 with Trial"
"Biographies",1,"Leonardo da Vinci","$20.99"
"Biographies",2,"Yes Please","$2.99"
"Biographies",3,"Leonardo da Vinci","$0.00 with Trial"
"Biographies",4,"Leonardo da Vinci","$16.99"
"Biographies",5,"Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone","$0.00 with Trial"
"Biographies",6,"What Happened","$0.00 with Trial"
"Biographies",7,"Coming Clean: A Memoir","$0.99"
"Biographies",8,"H Is for Hawk","$8.63"
"Biographies",9,"Grant","$23.99"
"Biographies",10,"The Intimate Life of Alexander Hamilton","$1.99"
"Biographies",11,"The 5 Love Languages: The Secret to Love that Lasts","$9.59"
"Biographies",12,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True","$16.19"
"Biographies",13,"What Happened","$17.99"
"Biographies",14,"Mary's Mosaic: The CIA Conspiracy to Murder John F. Kennedy, Mary Pinchot Meyer, and Their Vision for World Peace: Third Edition","$1.99"
"Biographies",15,"Cherry","$1.99"
"Biographies",16,"Born a Crime: Stories from a South African Childhood","$0.00 with Trial"
"Biographies",17,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True","$0.00 with Trial"
"Biographies",18,"Basketball (and Other Things): A Collection of Questions Asked, Answered, Illustrated","$11.99"
"Biographies",19,"I Can't Make This Up: Life Lessons","$0.00 with Trial"
"Biographies",20,"Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone","$16.37"
"Biographies",21,"We Were Eight Years in Power: An American Tragedy","$16.80"
"Biographies",22,"Grant","$0.00 with Trial"
"Biographies",23,"Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together","$9.99"
"Biographies",24,"Grant","$19.99"
"Biographies",25,"Switching Time: A Doctor's Harrowing Story of Treating a Woman with 17 Personalities","$1.99"
"Biographies",26,"The Anthology Part 1 Limited Edition","$24.99"
"Biographies",27,"Rhett & Link's Book of Mythicality: A Field Guide to Curiosity, Creativity, and Tomfoolery","$12.60"
"Biographies",28,"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","$15.99"
"Biographies",29,"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","$16.74"
"Biographies",30,"Recovery: Freedom from Our Addictions","$0.00 with Trial"
"Biographies",31,"The Drug Hunters: The Improbable Quest to Discover New Medicines","$0.00 with Trial"
"Biographies",32,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of the Oxford English Dictionary","$1.99"
"Biographies",33,"How Can I Talk If My Lips Don't Move?: Inside My Autistic Mind","$1.99"
"Biographies",34,"What Happened","$14.99"
"Biographies",35,"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","$0.00 with Trial"
"Biographies",36,"Martin Luther: The Man Who Rediscovered God and Changed the World","$18.00"
"Biographies",37,"The Autobiography of Gucci Mane","$16.20"
"Biographies",38,"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together","$0.00 with Trial"
"Biographies",39,"Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together","$14.44"
"Biographies",40,"Recovery: Freedom from Our Addictions","$18.36"
"Biographies",41,"The TB12 Method: How to Achieve a Lifetime of Sustained Peak Performance","$20.48"
"Biographies",42,"Napoleon: A Life","$1.99"
"Biographies",43,"Endurance: A Year in Space, A Lifetime of Discovery","$17.97"
"Biographies",44,"Threading My Prayer Rug: One Woman's Journey from Pakistani Muslim to American Muslim","$1.99"
"Biographies",45,"Obama: An Intimate Portrait","$28.99"
"Biographies",46,"Mindhunter: Inside the FBI's Elite Serial Crime Unit","$8.54"
"Biographies",47,"Shoe Dog: A Memoir by the Creator of Nike","$0.00 with Trial"
"Biographies",48,"Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone","$14.99"
"Biographies",49,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True","$12.99"
"Biographies",50,"Al Franken, Giant of the Senate","$0.00 with Trial"
"Biographies",51,"The Glass Castle: A Memoir","$10.29"
"Biographies",52,"The Autobiography of Gucci Mane","$0.00 with Trial"
"Biographies",53,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future","$0.00 with Trial"
"Biographies",54,"The World's Largest Man: A Memoir","$1.99"
"Biographies",55,"The Underground Girls of Kabul: In Search of a Hidden Resistance in Afghanistan","$1.99"
"Biographies",56,"Lessons From a Third Grade Dropout","$8.02"
"Biographies",57,"Night (Night)","$6.47"
"Biographies",58,"Ben Franklin: The American Dream (The True Story of Benjamin Franklin) (Historical Biographies of Famous People)","$2.99"
"Biographies",59,"Man's Search for Meaning","$9.97"
"Biographies",60,"48 Laws of Power","$0.00 with Trial"
"Biographies",61,"The Big Book of Serial Killers: 150 Serial Killer Files of the World's Worst Murderers (An Encyclopedia of Serial Killers)","$1.60"
"Biographies",62,"Between the World and Me","$13.54"
"Biographies",63,"Rhett & Link's Book of Mythicality: A Field Guide to Curiosity, Creativity, and Tomfoolery","$0.00 with Trial"
"Biographies",64,"Lessons From a Third Grade Dropout","$4.99"
"Biographies",65,"Unbelievable: My Front-Row Seat to the Craziest Campaign in American History","$16.19"
"Biographies",66,"Tears of the Silenced: A True Crime and an American Tragedy; Severe Child Abuse and Leaving the Amish","$2.99"
"Biographies",67,"The Glass Castle: A Memoir","$12.99"
"Biographies",68,"Unbelievable: My Front-Row Seat to the Craziest Campaign in American History","$12.99"
"Biographies",69,"The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine","$16.50"
"Biographies",70,"We Were Eight Years in Power: An American Tragedy","$0.00 with Trial"
"Biographies",71,"Nine Years Among the Indians, 1870-1879: The Story of the Captivity and Life of a Texan Among the Indians","$0.99"
"Biographies",72,"Mindhunter: Inside the FBI's Elite Serial Crime Unit","$11.51"
"Biographies",73,"Sisters First: Stories from Our Wild and Wonderful Life","$19.60"
"Biographies",74,"D DAY Through German Eyes - The Hidden Story of June 6th 1944","$2.99"
"Biographies",75,"The Magnolia Story","$13.49"
"Biographies",76,"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way","$1.99"
"Biographies",77,"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","$14.99"
"Biographies",78,"We Were Eight Years in Power: An American Tragedy","$13.99"
"Biographies",79,"Black Privilege: Opportunity Comes to Those Who Create It","$0.00 with Trial"
"Biographies",80,"Maude","$2.99"
"Biographies",81,"Al Franken, Giant of the Senate","$14.99"
"Biographies",82,"The Glass Castle: A Memoir","$0.00 with Trial"
"Biographies",83,"Sticky Fingers: The Life and Times of Jann Wenner and Rolling Stone Magazine","$19.46"
"Biographies",84,"Why Me?","$0.99"
"Biographies",85,"Unbelievable: My Front-Row Seat to the Craziest Campaign in American History","$0.00 with Trial"
"Biographies",86,"Tiny Beautiful Things: Advice on Love and Life from Dear Sugar","$9.19"
"Biographies",87,"Liar, Temptress, Soldier, Spy: Four Women Undercover in the Civil War","$1.99"
"Biographies",88,"J.R.R. Tolkien: A Life Inspired","$2.99"
"Biographies",89,"The Girl with Seven Names: A North Korean Defector’s Story","$1.99"
"Biographies",90,"Born a Crime: Stories from a South African Childhood","$14.99"
"Biographies",91,"Just Mercy: A Story of Justice and Redemption","$12.00"
"Biographies",92,"Option B: Facing Adversity, Building Resilience, and Finding Joy","$15.80"
"Biographies",93,"Endurance: A Year in Space, a Lifetime of Discovery","$0.00 with Trial"
"Biographies",94,"The 48 Laws of Power","$19.63"
"Biographies",95,"My Mother Was Nuts","$0.99"
"Biographies",96,"Women in Science: 50 Fearless Pioneers Who Changed the World","$11.55"
"Biographies",97,"Time to Be in Earnest","$1.99"
"Biographies",98,"Going Into Town: A Love Letter to New York","$17.11"
"Biographies",99,"Reckless Daughter: A Portrait of Joni Mitchell","$20.74"
"Biographies",100,"Alexander Hamilton","$14.23"
"CD",1,"Leonardo da Vinci","$35.71"
"CD",2,"Living Language Spanish, Complete Edition","$39.99"
"CD",3,"Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series)","$26.24"
"CD",4,"Origin: A Novel","$28.99"
"CD",5,"The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations","$19.85"
"CD",6,"The Rooster Bar","$26.24"
"CD",7,"Deep Freeze (A Virgil Flowers Novel)","$23.33"
"CD",8,"Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone","$19.86"
"CD",9,"Guided Mindfulness Meditation: A Complete Guided Mindfulness Meditation Program from Jon Kabat-Zinn","$17.70"
"CD",10,"The Cuban Affair","$25.89"
"CD",11,"Wee Sing Bible Songs (Wee Sing) CD and Book Edition","$6.29"
"CD",12,"What Happened","$25.94"
"CD",13,"Living Language Italian, Complete Edition: Beginner through advanced course, including 3 coursebooks, 9 audio CDs, and free online learning","$29.59"
"CD",14,"Devotions from Priscilla Shirer - Audio CD Volume 1","$5.00"
"CD",15,"The Midnight Line: A Jack Reacher Novel","$28.99"
"CD",16,"The Ultimate Road Trip: Family Vacation Collection (Adventures in Odyssey)","$14.50"
"CD",17,"Meditations for Breaking the Habit of Being Yourself: Revised Edition","$13.56"
"CD",18,"Judgment Detox: Release the Beliefs That Hold You Back from Living A Better Life","$28.32"
"CD",19,"Duck on a Bike (Read Along Book & CD)","$8.49"
"CD",20,"Grant","$47.25"
"CD",21,"A Column of Fire (Kingsbridge)","$44.19"
"CD",22,"Two Kinds of Truth (A Harry Bosch Novel)","$25.95"
"CD",23,"The Great Gasbag: An A-to-Z Study Guide to Surviving Trump World","$18.44"
"CD",24,"The Girl Who Takes an Eye for an Eye: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series","$30.40"
"CD",25,"NIV LIVE, Audio CD: A New Bible Experience","$20.50"
"CD",26,"Rising Strong as a Spiritual Practice","$17.44"
"CD",27,"The End of Alzheimer's: The First Program to Prevent and Reverse Cognitive Decline","$26.25"
"CD",28,"Living Language German, Complete Edition: Beginner through advanced course, including 3 coursebooks, 9 audio CDs, and free online learning","$32.76"
"CD",29,"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","$15.39"
"CD",30,"Your Present: A Half-Hour of Peace: A Guided Imagery Meditation for Physical & Spiritual Wellness","$10.26"
"CD",31,"It: A Novel","$20.95"
